chr	pos	strand	type	num_C	depth	percentage	isMeth
chr1	530	+	CHH	1	12	0.0833333	0
chr1	547	+	CHH	0	16	0	0
chr1	548	+	CHH	0	16	0	0
chr1	554	+	CHH	0	14	0	0
chr1	562	+	CHG	0	18	0	0
chr1	570	+	CHH	0	22	0	0
chr1	573	+	CHG	2	22	0.0909091	0
chr1	576	+	CHH	0	23	0	0
chr1	590	+	CHH	0	23	0	0
chr1	591	+	CHH	0	23	0	0
chr1	596	+	CHH	0	23	0	0
chr1	597	+	CHH	3	23	0.130435	1
chr1	620	+	CHH	0	25	0	0
chr1	622	+	CHH	0	25	0	0
chr1	625	+	CHH	0	23	0	0
chr1	630	+	CHH	1	22	0.0454545	0
chr1	638	+	CHH	1	21	0.047619	0
chr1	642	+	CG	19	23	0.826087	1
chr1	644	+	CHH	0	23	0	0
chr1	645	+	CHH	0	23	0	0
chr1	647	+	CG	17	22	0.772727	1
chr1	650	+	CG	17	22	0.772727	1
chr1	655	+	CHH	0	17	0	0
chr1	657	+	CHH	3	17	0.176471	1
chr1	663	+	CHH	0	16	0	0
chr1	667	+	CHH	0	16	0	0
chr1	668	+	CHH	0	18	0	0
chr1	675	+	CHH	0	17	0	0
chr1	677	+	CHH	0	17	0	0
chr1	679	+	CHH	0	17	0	0
chr1	687	+	CHH	0	17	0	0
chr1	689	+	CHH	0	17	0	0
chr1	691	+	CHH	6	16	0.375	1
chr1	720	+	CHH	0	12	0	0
chr1	723	+	CHH	0	13	0	0
chr1	737	+	CHH	0	11	0	0
chr1	739	+	CHH	0	10	0	0
chr1	744	+	CHH	0	10	0	0
chr1	751	+	CHH	0	10	0	0
chr1	752	+	CHH	0	10	0	0
chr1	754	+	CHH	2	10	0.2	0
chr1	780	+	CHH	1	9	0.111111	0
chr1	785	+	CHH	1	11	0.0909091	0
chr1	788	+	CHH	2	12	0.166667	0
chr1	790	+	CG	12	12	1	1
chr1	795	+	CHG	9	12	0.75	1
chr1	798	+	CHH	2	12	0.166667	0
chr1	805	+	CHH	0	12	0	0
chr1	808	+	CHG	1	12	0.0833333	0
chr1	809	+	CG	11	11	1	1
chr1	811	+	CHH	0	10	0	0
chr1	812	+	CHG	5	10	0.5	1
chr1	824	+	CHH	1	11	0.0909091	0
chr1	825	+	CHH	1	12	0.0833333	0
chr1	832	+	CHH	1	12	0.0833333	0
chr1	833	+	CHH	1	12	0.0833333	0
chr1	839	+	CG	10	12	0.833333	1
chr1	856	+	CHG	6	11	0.545455	1
chr1	864	+	CHH	2	9	0.222222	0
chr1	867	+	CHH	0	9	0	0
chr1	869	+	CHH	0	9	0	0
chr1	875	+	CHH	1	8	0.125	0
chr1	878	+	CHH	0	8	0	0
chr1	880	+	CHH	1	8	0.125	0
chr1	904	+	CG	8	8	1	1
chr1	907	+	CHH	0	8	0	0
chr1	909	+	CHH	0	7	0	0
chr1	911	+	CG	7	7	1	1
chr1	917	+	CHH	1	7	0.142857	0
chr1	938	+	CHH	2	5	0.4	1
chr1	940	+	CHH	1	5	0.2	0
chr1	946	+	CHH	2	5	0.4	1
chr1	947	+	CHG	2	5	0.4	1
chr1	948	+	CG	2	5	0.4	1
chr1	1291	+	CHH	1	6	0.166667	0
chr1	1339	+	CHH	0	5	0	0
chr1	1343	+	CHH	0	5	0	0
chr1	1351	+	CHH	0	5	0	0
chr1	1355	+	CHH	0	5	0	0
chr1	1359	+	CHH	0	8	0	0
chr1	1394	+	CHH	0	17	0	0
chr1	1395	+	CHH	0	17	0	0
chr1	1403	+	CHH	0	21	0	0
chr1	1410	+	CHH	0	22	0	0
chr1	1433	+	CHG	1	25	0.04	0
chr1	1439	+	CG	0	26	0	0
chr1	1472	+	CHH	1	22	0.0454545	0
chr1	1475	+	CHH	0	21	0	0
chr1	1477	+	CHH	0	20	0	0
chr1	1496	+	CHH	0	15	0	0
chr1	1501	+	CHH	0	15	0	0
chr1	1505	+	CHH	0	15	0	0
chr1	1515	+	CHH	0	14	0	0
chr1	1516	+	CHH	0	14	0	0
chr1	1517	+	CHH	0	15	0	0
chr1	1518	+	CHH	1	15	0.0666667	0
chr1	1526	+	CHH	0	16	0	0
chr1	1529	+	CHH	0	15	0	0
chr1	1539	+	CHH	0	21	0	0
chr1	1541	+	CG	0	21	0	0
chr1	1546	+	CHH	0	22	0	0
chr1	1552	+	CHH	0	23	0	0
chr1	1556	+	CHH	0	23	0	0
chr1	1572	+	CHH	0	23	0	0
chr1	1575	+	CHH	0	23	0	0
chr1	1582	+	CHG	0	25	0	0
chr1	1614	+	CHH	0	22	0	0
chr1	1615	+	CHG	0	22	0	0
chr1	1625	+	CHH	0	20	0	0
chr1	1626	+	CHH	1	21	0.047619	0
chr1	1633	+	CHG	0	21	0	0
chr1	1634	+	CG	0	22	0	0
chr1	1637	+	CHH	0	21	0	0
chr1	1649	+	CG	0	18	0	0
chr1	1655	+	CHH	0	17	0	0
chr1	1660	+	CHH	0	15	0	0
chr1	1662	+	CHH	0	15	0	0
chr1	1663	+	CHH	0	15	0	0
chr1	1691	+	CHH	0	14	0	0
chr1	1694	+	CHH	0	14	0	0
chr1	1695	+	CHH	0	14	0	0
chr1	1698	+	CHH	0	13	0	0
chr1	1699	+	CHH	0	13	0	0
chr1	1701	+	CHH	0	13	0	0
chr1	1704	+	CHH	0	13	0	0
chr1	1708	+	CHH	0	13	0	0
chr1	1710	+	CHH	0	13	0	0
chr1	1711	+	CHH	0	13	0	0
chr1	1724	+	CHH	0	7	0	0
chr1	1725	+	CHH	0	7	0	0
chr1	1730	+	CHH	0	6	0	0
chr1	1734	+	CHH	0	6	0	0
chr1	1737	+	CHH	0	6	0	0
chr1	1740	+	CHH	0	7	0	0
chr1	1747	+	CHH	0	7	0	0
chr1	1748	+	CHH	0	7	0	0
chr1	1754	+	CHH	0	7	0	0
chr1	1786	+	CHH	0	6	0	0
chr1	1787	+	CHH	0	6	0	0
chr1	1790	+	CHH	0	6	0	0
chr1	1796	+	CHH	0	8	0	0
chr1	1807	+	CHH	0	7	0	0
chr1	1813	+	CHG	0	8	0	0
chr1	1825	+	CHH	0	9	0	0
chr1	1835	+	CHG	0	8	0	0
chr1	1847	+	CHH	0	8	0	0
chr1	1853	+	CHH	0	8	0	0
chr1	1865	+	CHH	0	9	0	0
chr1	1867	+	CHH	0	10	0	0
chr1	1869	+	CHH	0	10	0	0
chr1	1871	+	CHH	0	10	0	0
chr1	1890	+	CHG	0	7	0	0
chr1	1896	+	CHG	0	8	0	0
chr1	1901	+	CHH	0	7	0	0
chr1	1903	+	CHH	0	6	0	0
chr1	1910	+	CHH	0	6	0	0
chr1	1913	+	CHH	0	5	0	0
chr1	1914	+	CHH	0	5	0	0
chr1	2021	+	CHG	0	5	0	0
chr1	2024	+	CG	0	5	0	0
chr1	2027	+	CHH	0	6	0	0
chr1	2030	+	CHH	0	6	0	0
chr1	2043	+	CHH	0	6	0	0
chr1	2044	+	CHH	0	6	0	0
chr1	2045	+	CHH	0	6	0	0
chr1	2046	+	CHH	0	6	0	0
chr1	2048	+	CHH	0	6	0	0
chr1	2060	+	CHH	0	8	0	0
chr1	2062	+	CHH	0	7	0	0
chr1	2063	+	CHH	0	7	0	0
chr1	2096	+	CHH	0	9	0	0
chr1	2099	+	CHH	0	9	0	0
chr1	2103	+	CHH	0	9	0	0
chr1	2107	+	CHH	0	9	0	0
chr1	2117	+	CHH	0	7	0	0
chr1	2118	+	CHH	0	7	0	0
chr1	2119	+	CHH	0	7	0	0
chr1	2130	+	CHH	0	7	0	0
chr1	2133	+	CHH	0	7	0	0
chr1	2138	+	CHH	0	8	0	0
chr1	2142	+	CHH	0	6	0	0
chr1	2143	+	CHH	0	6	0	0
chr1	2145	+	CHH	0	5	0	0
chr1	2151	+	CHH	0	6	0	0
chr1	2153	+	CHH	0	6	0	0
chr1	2173	+	CHH	0	5	0	0
chr1	2180	+	CHH	0	5	0	0
chr1	2194	+	CG	0	5	0	0
chr1	2196	+	CHH	0	5	0	0
chr1	2204	+	CHH	0	6	0	0
chr1	2227	+	CHH	0	6	0	0
chr1	2245	+	CHH	0	6	0	0
chr1	2257	+	CG	0	7	0	0
chr1	2263	+	CHH	0	8	0	0
chr1	2268	+	CHH	0	8	0	0
chr1	2270	+	CHH	0	7	0	0
chr1	2271	+	CHH	0	7	0	0
chr1	2300	+	CHH	0	5	0	0
chr1	2301	+	CHH	0	5	0	0
chr1	2415	+	CHH	0	5	0	0
chr1	2416	+	CHH	0	5	0	0
chr1	2420	+	CHH	0	6	0	0
chr1	2423	+	CHH	0	6	0	0
chr1	2426	+	CHH	0	6	0	0
chr1	2431	+	CG	0	6	0	0
chr1	2433	+	CHH	0	6	0	0
chr1	2437	+	CG	0	6	0	0
chr1	2442	+	CHH	0	6	0	0
chr1	2443	+	CHH	0	6	0	0
chr1	2455	+	CHH	0	5	0	0
chr1	2468	+	CHH	0	7	0	0
chr1	2473	+	CHH	0	8	0	0
chr1	2478	+	CG	0	7	0	0
chr1	2483	+	CHH	0	7	0	0
chr1	2488	+	CHH	0	6	0	0
chr1	2493	+	CHH	0	5	0	0
chr1	2495	+	CHH	0	5	0	0
chr1	2506	+	CHH	0	6	0	0
chr1	2509	+	CG	0	5	0	0
chr1	2512	+	CHH	0	5	0	0
chr1	2513	+	CHH	0	5	0	0
chr1	2523	+	CHH	0	6	0	0
chr1	2524	+	CHH	0	7	0	0
chr1	2537	+	CHH	1	11	0.0909091	0
chr1	2541	+	CHH	0	13	0	0
chr1	2548	+	CHH	0	13	0	0
chr1	2553	+	CHH	0	11	0	0
chr1	2554	+	CHH	0	12	0	0
chr1	2555	+	CHH	1	12	0.0833333	0
chr1	2556	+	CHH	0	13	0	0
chr1	2557	+	CHH	0	13	0	0
chr1	2564	+	CHH	0	13	0	0
chr1	2594	+	CHG	0	18	0	0
chr1	2607	+	CHG	0	19	0	0
chr1	2637	+	CHH	0	15	0	0
chr1	2643	+	CHG	0	15	0	0
chr1	2646	+	CHH	0	14	0	0
chr1	2647	+	CHH	0	14	0	0
chr1	2658	+	CHH	0	12	0	0
chr1	2661	+	CHH	0	12	0	0
chr1	2663	+	CHH	0	12	0	0
chr1	2673	+	CHH	0	8	0	0
chr1	2679	+	CHH	0	7	0	0
chr1	2680	+	CHH	0	7	0	0
chr1	2683	+	CHH	0	8	0	0
chr1	2684	+	CHH	0	8	0	0
chr1	2686	+	CHH	0	9	0	0
chr1	2688	+	CG	0	9	0	0
chr1	2697	+	CHH	0	11	0	0
chr1	2707	+	CHH	0	10	0	0
chr1	2708	+	CHH	0	9	0	0
chr1	2710	+	CHH	0	9	0	0
chr1	2721	+	CHH	0	11	0	0
chr1	2725	+	CHH	0	11	0	0
chr1	2728	+	CHH	0	11	0	0
chr1	2729	+	CHH	0	11	0	0
chr1	2730	+	CHH	0	11	0	0
chr1	2732	+	CHH	0	10	0	0
chr1	2734	+	CHH	0	9	0	0
chr1	2740	+	CHH	0	9	0	0
chr1	2748	+	CHH	0	10	0	0
chr1	2767	+	CHH	0	12	0	0
chr1	2772	+	CHH	0	12	0	0
chr1	2774	+	CHH	0	12	0	0
chr1	2775	+	CHH	0	11	0	0
chr1	2778	+	CHH	0	12	0	0
chr1	2781	+	CHH	0	13	0	0
chr1	2782	+	CHH	0	13	0	0
chr1	2785	+	CHH	0	12	0	0
chr1	2800	+	CHH	0	13	0	0
chr1	2803	+	CHG	0	12	0	0
chr1	2807	+	CG	0	11	0	0
chr1	2815	+	CHH	0	11	0	0
chr1	2830	+	CG	0	12	0	0
chr1	2845	+	CG	0	9	0	0
chr1	2857	+	CG	0	10	0	0
chr1	2860	+	CHH	0	10	0	0
chr1	2862	+	CHH	0	9	0	0
chr1	2866	+	CG	0	9	0	0
chr1	2877	+	CG	1	7	0.142857	0
chr1	2884	+	CHH	0	5	0	0
chr1	2886	+	CHH	0	5	0	0
chr1	2890	+	CHH	0	5	0	0
chr1	2897	+	CHH	0	6	0	0
chr1	2898	+	CHH	0	6	0	0
chr1	2910	+	CHH	0	7	0	0
chr1	2913	+	CHH	1	8	0.125	0
chr1	2914	+	CHH	0	8	0	0
chr1	2915	+	CHH	0	8	0	0
chr1	2916	+	CHH	0	8	0	0
chr1	2918	+	CG	0	9	0	0
chr1	2922	+	CHH	0	9	0	0
chr1	2923	+	CHH	0	9	0	0
chr1	2929	+	CG	0	10	0	0
chr1	2932	+	CHH	0	8	0	0
chr1	2936	+	CHH	0	8	0	0
chr1	2941	+	CHH	0	7	0	0
chr1	2944	+	CHH	0	7	0	0
chr1	2950	+	CHH	0	8	0	0
chr1	2962	+	CHH	0	8	0	0
chr1	2966	+	CHH	0	8	0	0
chr1	2973	+	CHH	0	9	0	0
chr1	2974	+	CHG	0	9	0	0
chr1	2977	+	CG	0	9	0	0
chr1	2982	+	CHH	0	10	0	0
chr1	2990	+	CHH	0	9	0	0
chr1	2993	+	CHH	0	10	0	0
chr1	2994	+	CHH	0	10	0	0
chr1	2997	+	CHH	0	10	0	0
chr1	3011	+	CHH	0	7	0	0
chr1	3014	+	CHH	0	7	0	0
chr1	3019	+	CG	0	7	0	0
chr1	3029	+	CHH	0	8	0	0
chr1	3045	+	CHH	0	8	0	0
chr1	3047	+	CHH	0	8	0	0
chr1	3049	+	CHH	0	8	0	0
chr1	3051	+	CHH	1	8	0.125	0
chr1	3069	+	CG	0	8	0	0
chr1	3109	+	CHH	0	6	0	0
chr1	3117	+	CHG	0	6	0	0
chr1	3123	+	CG	0	5	0	0
chr1	3548	+	CHH	0	5	0	0
chr1	3549	+	CHH	0	5	0	0
chr1	3594	+	CHH	0	5	0	0
chr1	3604	+	CG	0	5	0	0
chr1	3606	+	CHG	0	5	0	0
chr1	3610	+	CHH	0	5	0	0
chr1	3673	+	CG	0	6	0	0
chr1	3683	+	CHG	0	5	0	0
chr1	3690	+	CHG	1	9	0.111111	0
chr1	3697	+	CG	1	8	0.125	0
chr1	3707	+	CG	0	11	0	0
chr1	3710	+	CG	0	12	0	0
chr1	3713	+	CG	0	12	0	0
chr1	3718	+	CHH	0	12	0	0
chr1	3720	+	CHH	0	14	0	0
chr1	3725	+	CHH	0	17	0	0
chr1	3726	+	CHG	0	17	0	0
chr1	3727	+	CG	0	17	0	0
chr1	3733	+	CHH	0	18	0	0
chr1	3734	+	CHH	1	18	0.0555556	0
chr1	3743	+	CG	0	22	0	0
chr1	3747	+	CG	0	21	0	0
chr1	3769	+	CHH	0	22	0	0
chr1	3786	+	CHG	0	19	0	0
chr1	3787	+	CG	0	20	0	0
chr1	3790	+	CHG	0	20	0	0
chr1	3791	+	CG	0	19	0	0
chr1	3795	+	CG	0	19	0	0
chr1	3798	+	CG	0	17	0	0
chr1	3805	+	CHH	0	19	0	0
chr1	3807	+	CG	0	20	0	0
chr1	3814	+	CHH	1	18	0.0555556	0
chr1	3816	+	CHH	0	18	0	0
chr1	3820	+	CHH	0	19	0	0
chr1	3822	+	CHG	0	19	0	0
chr1	3823	+	CG	0	19	0	0
chr1	3828	+	CHH	0	17	0	0
chr1	3834	+	CG	0	18	0	0
chr1	3843	+	CHH	0	21	0	0
chr1	3845	+	CHH	0	22	0	0
chr1	3849	+	CHG	0	22	0	0
chr1	3850	+	CG	0	22	0	0
chr1	3852	+	CG	0	21	0	0
chr1	3855	+	CG	0	21	0	0
chr1	3866	+	CHH	0	24	0	0
chr1	3867	+	CHH	0	25	0	0
chr1	3870	+	CHG	0	24	0	0
chr1	3873	+	CG	0	25	0	0
chr1	3879	+	CHH	0	24	0	0
chr1	3882	+	CHH	1	24	0.0416667	0
chr1	3885	+	CHG	0	24	0	0
chr1	3891	+	CHH	0	26	0	0
chr1	3894	+	CG	0	26	0	0
chr1	3898	+	CHH	0	27	0	0
chr1	3899	+	CHH	0	28	0	0
chr1	3906	+	CHH	0	27	0	0
chr1	3910	+	CG	0	25	0	0
chr1	3912	+	CHG	0	25	0	0
chr1	3921	+	CHG	0	29	0	0
chr1	3922	+	CG	0	29	0	0
chr1	3930	+	CHG	0	29	0	0
chr1	3938	+	CHH	0	28	0	0
chr1	3944	+	CHH	0	27	0	0
chr1	3952	+	CG	0	29	0	0
chr1	3993	+	CHG	0	28	0	0
chr1	3997	+	CHH	1	29	0.0344828	0
chr1	3998	+	CHG	0	29	0	0
chr1	4002	+	CHH	0	28	0	0
chr1	4009	+	CHH	0	23	0	0
chr1	4014	+	CG	0	23	0	0
chr1	4023	+	CHH	0	22	0	0
chr1	4033	+	CHH	0	20	0	0
chr1	4036	+	CHH	0	21	0	0
chr1	4039	+	CHH	0	18	0	0
chr1	4041	+	CHH	0	18	0	0
chr1	4043	+	CG	0	19	0	0
chr1	4054	+	CHH	0	20	0	0
chr1	4057	+	CHH	0	20	0	0
chr1	4067	+	CG	0	21	0	0
chr1	4070	+	CHG	0	19	0	0
chr1	4075	+	CHG	0	18	0	0
chr1	4080	+	CHH	0	19	0	0
chr1	4083	+	CG	0	19	0	0
chr1	4089	+	CHG	0	18	0	0
chr1	4103	+	CHH	0	17	0	0
chr1	4107	+	CHG	0	17	0	0
chr1	4108	+	CG	0	18	0	0
chr1	4116	+	CHG	0	21	0	0
chr1	4126	+	CHH	0	23	0	0
chr1	4132	+	CHH	0	21	0	0
chr1	4133	+	CHG	0	20	0	0
chr1	4156	+	CHH	0	19	0	0
chr1	4160	+	CG	0	20	0	0
chr1	4175	+	CHH	0	16	0	0
chr1	4195	+	CHH	0	19	0	0
chr1	4196	+	CHH	0	19	0	0
chr1	4198	+	CG	0	19	0	0
chr1	4210	+	CHH	1	17	0.0588235	0
chr1	4211	+	CHH	0	17	0	0
chr1	4212	+	CHG	0	17	0	0
chr1	4216	+	CHH	0	16	0	0
chr1	4221	+	CHH	0	16	0	0
chr1	4222	+	CHH	0	16	0	0
chr1	4227	+	CHG	0	16	0	0
chr1	4240	+	CHH	0	11	0	0
chr1	4241	+	CHH	0	11	0	0
chr1	4243	+	CG	0	10	0	0
chr1	4249	+	CHH	0	8	0	0
chr1	4250	+	CHH	0	8	0	0
chr1	4252	+	CHH	0	7	0	0
chr1	4255	+	CG	0	8	0	0
chr1	4258	+	CHH	0	8	0	0
chr1	4259	+	CHH	0	8	0	0
chr1	4261	+	CHH	0	9	0	0
chr1	4265	+	CHH	0	9	0	0
chr1	4266	+	CHG	0	9	0	0
chr1	4271	+	CHH	0	10	0	0
chr1	4274	+	CHG	0	10	0	0
chr1	4282	+	CHH	0	8	0	0
chr1	4285	+	CHH	0	6	0	0
chr1	4336	+	CHG	0	6	0	0
chr1	4339	+	CHG	0	6	0	0
chr1	4345	+	CHH	0	7	0	0
chr1	4367	+	CHH	0	6	0	0
chr1	4378	+	CHH	0	6	0	0
chr1	4391	+	CHH	1	10	0.1	0
chr1	4393	+	CHH	0	9	0	0
chr1	4404	+	CHG	0	11	0	0
chr1	4407	+	CHG	0	11	0	0
chr1	4410	+	CHH	0	11	0	0
chr1	4456	+	CHH	0	14	0	0
chr1	4464	+	CHH	0	16	0	0
chr1	4468	+	CHH	0	16	0	0
chr1	4469	+	CHH	0	16	0	0
chr1	4471	+	CHG	0	15	0	0
chr1	4472	+	CG	0	15	0	0
chr1	4483	+	CHG	0	13	0	0
chr1	4490	+	CHH	0	11	0	0
chr1	4497	+	CHH	0	11	0	0
chr1	4500	+	CHG	0	13	0	0
chr1	4503	+	CHG	0	12	0	0
chr1	4507	+	CHH	0	11	0	0
chr1	4515	+	CHH	0	12	0	0
chr1	4529	+	CG	0	13	0	0
chr1	4533	+	CHH	0	15	0	0
chr1	4537	+	CHH	1	14	0.0714286	0
chr1	4541	+	CHG	0	14	0	0
chr1	4544	+	CHH	0	16	0	0
chr1	4550	+	CHH	0	15	0	0
chr1	4562	+	CHH	0	16	0	0
chr1	4564	+	CHH	0	15	0	0
chr1	4565	+	CHG	0	15	0	0
chr1	4566	+	CG	0	16	0	0
chr1	4568	+	CHH	0	16	0	0
chr1	4575	+	CHH	0	17	0	0
chr1	4576	+	CHH	0	17	0	0
chr1	4577	+	CHH	0	17	0	0
chr1	4578	+	CHH	0	17	0	0
chr1	4586	+	CHH	0	18	0	0
chr1	4595	+	CHG	0	16	0	0
chr1	4601	+	CHG	0	16	0	0
chr1	4612	+	CHH	1	15	0.0666667	0
chr1	4616	+	CHH	0	12	0	0
chr1	4618	+	CHH	0	12	0	0
chr1	4619	+	CHH	0	12	0	0
chr1	4625	+	CHH	0	11	0	0
chr1	4627	+	CHH	1	11	0.0909091	0
chr1	4632	+	CHH	0	10	0	0
chr1	4643	+	CHG	0	11	0	0
chr1	4648	+	CHH	0	12	0	0
chr1	4658	+	CHH	0	9	0	0
chr1	4665	+	CHH	0	10	0	0
chr1	4668	+	CHG	0	10	0	0
chr1	4683	+	CHH	0	9	0	0
chr1	4684	+	CHH	0	9	0	0
chr1	4689	+	CHG	0	9	0	0
chr1	4698	+	CG	0	11	0	0
chr1	4703	+	CHG	0	12	0	0
chr1	4708	+	CHH	0	13	0	0
chr1	4711	+	CHH	1	13	0.0769231	0
chr1	4712	+	CHH	0	13	0	0
chr1	4716	+	CHH	0	12	0	0
chr1	4718	+	CG	0	13	0	0
chr1	4721	+	CHH	0	13	0	0
chr1	4724	+	CG	0	13	0	0
chr1	4731	+	CHG	0	14	0	0
chr1	4737	+	CHH	0	14	0	0
chr1	4741	+	CHH	0	13	0	0
chr1	4744	+	CHH	0	15	0	0
chr1	4746	+	CHH	0	15	0	0
chr1	4750	+	CHH	0	16	0	0
chr1	4752	+	CHG	0	16	0	0
chr1	4764	+	CHG	0	14	0	0
chr1	4767	+	CHH	0	14	0	0
chr1	4772	+	CHH	0	15	0	0
chr1	4777	+	CHH	0	16	0	0
chr1	4778	+	CHG	0	17	0	0
chr1	4781	+	CHG	0	17	0	0
chr1	4795	+	CHH	0	15	0	0
chr1	4797	+	CHH	0	14	0	0
chr1	4801	+	CHH	0	15	0	0
chr1	4808	+	CHG	0	15	0	0
chr1	4811	+	CHG	0	16	0	0
chr1	4814	+	CHH	0	15	0	0
chr1	4817	+	CHH	0	15	0	0
chr1	4818	+	CHH	1	14	0.0714286	0
chr1	4820	+	CHH	0	15	0	0
chr1	4823	+	CHH	1	14	0.0714286	0
chr1	4830	+	CHH	0	13	0	0
chr1	4834	+	CHH	0	12	0	0
chr1	4837	+	CHH	0	12	0	0
chr1	4838	+	CHH	0	12	0	0
chr1	4839	+	CHH	0	13	0	0
chr1	4841	+	CHH	0	12	0	0
chr1	4843	+	CHH	0	13	0	0
chr1	4844	+	CHH	0	12	0	0
chr1	4860	+	CHH	0	14	0	0
chr1	4865	+	CHH	0	14	0	0
chr1	4867	+	CG	0	13	0	0
chr1	4870	+	CG	0	13	0	0
chr1	4874	+	CHG	0	13	0	0
chr1	4880	+	CHG	0	13	0	0
chr1	4888	+	CHH	0	16	0	0
chr1	4894	+	CG	0	18	0	0
chr1	4897	+	CHH	0	19	0	0
chr1	4898	+	CHG	0	19	0	0
chr1	4901	+	CHH	0	18	0	0
chr1	4904	+	CHG	0	18	0	0
chr1	4907	+	CHH	0	19	0	0
chr1	4913	+	CHH	0	21	0	0
chr1	4914	+	CHH	0	21	0	0
chr1	4918	+	CHH	0	22	0	0
chr1	4923	+	CHH	0	24	0	0
chr1	4925	+	CHH	0	25	0	0
chr1	4926	+	CHH	0	25	0	0
chr1	4941	+	CG	0	22	0	0
chr1	4958	+	CHH	0	23	0	0
chr1	5001	+	CHH	0	15	0	0
chr1	5004	+	CHH	0	16	0	0
chr1	5009	+	CHH	0	19	0	0
chr1	5012	+	CHG	1	17	0.0588235	0
chr1	5015	+	CHH	0	15	0	0
chr1	5020	+	CHG	0	15	0	0
chr1	5027	+	CHH	0	15	0	0
chr1	5029	+	CHG	0	14	0	0
chr1	5030	+	CG	0	14	0	0
chr1	5033	+	CHH	0	14	0	0
chr1	5034	+	CHH	0	15	0	0
chr1	5035	+	CHH	0	16	0	0
chr1	5042	+	CHH	0	15	0	0
chr1	5043	+	CHG	0	15	0	0
chr1	5049	+	CHG	0	13	0	0
chr1	5060	+	CHH	0	12	0	0
chr1	5061	+	CHG	0	12	0	0
chr1	5071	+	CHG	0	13	0	0
chr1	5079	+	CHG	0	15	0	0
chr1	5085	+	CHG	0	14	0	0
chr1	5091	+	CHH	0	15	0	0
chr1	5101	+	CHH	0	13	0	0
chr1	5110	+	CHH	0	14	0	0
chr1	5112	+	CHH	0	14	0	0
chr1	5122	+	CHH	0	14	0	0
chr1	5124	+	CHH	0	13	0	0
chr1	5127	+	CHH	0	11	0	0
chr1	5128	+	CHH	0	11	0	0
chr1	5134	+	CG	0	12	0	0
chr1	5136	+	CHH	0	12	0	0
chr1	5139	+	CHH	0	12	0	0
chr1	5145	+	CHH	0	11	0	0
chr1	5147	+	CHH	0	12	0	0
chr1	5149	+	CHH	0	12	0	0
chr1	5151	+	CG	0	12	0	0
chr1	5153	+	CHG	0	12	0	0
