chr	start	end	DMR_number	cumulative_pos
chr1	6100001	6200000	16	6150000
chr1	6200001	6300000	20	6250000
chr1	6300001	6400000	6	6350000
chr1	6400001	6500000	19	6450000
chr1	6500001	6600000	14	6550000
chr1	6600001	6700000	9	6650000
chr1	6700001	6800000	16	6750000
chr1	6800001	6900000	3	6850000
chr1	6900001	7000000	5	6950000
chr1	7000001	7100000	21	7050000
chr1	7100001	7200000	10	7150000
chr1	7200001	7300000	19	7250000
chr1	7300001	7400000	8	7350000
chr1	7400001	7500000	10	7450000
chr1	7500001	7600000	7	7550000
chr1	7600001	7700000	7	7650000
chr1	7700001	7800000	18	7750000
chr1	7800001	7900000	18	7850000
chr1	7900001	8000000	15	7950000
chr1	8000001	8100000	18	8050000
chr1	8100001	8200000	20	8150000
chr1	8200001	8300000	25	8250000
chr1	8300001	8400000	10	8350000
chr1	8400001	8500000	17	8450000
chr1	8500001	8600000	16	8550000
chr1	8600001	8700000	15	8650000
chr1	8700001	8800000	12	8750000
chr1	8800001	8900000	21	8850000
chr1	8900001	9000000	3	8950000
chr1	9000001	9100000	13	9050000
chr1	9100001	9200000	23	9150000
chr1	9200001	9300000	14	9250000
chr1	9300001	9400000	26	9350000
chr1	9400001	9500000	18	9450000
chr1	9500001	9600000	17	9550000
chr1	9600001	9700000	7	9650000
chr1	9700001	9800000	7	9750000
chr1	9800001	9900000	29	9850000
chr1	9900001	10000000	34	9950000
chr1	10000001	10100000	15	10050000
chr1	10100001	10200000	23	10150000
chr1	10200001	10300000	25	10250000
chr1	10300001	10400000	13	10350000
chr1	10400001	10500000	10	10450000
chr1	10500001	10600000	38	10550000
chr1	10600001	10700000	24	10650000
chr1	10700001	10800000	9	10750000
chr1	10800001	10900000	16	10850000
chr1	10900001	11000000	32	10950000
chr1	11000001	11100000	42	11050000
chr1	11100001	11200000	31	11150000
chr1	11200001	11300000	28	11250000
chr1	11300001	11400000	29	11350000
chr1	11400001	11500000	30	11450000
chr1	11500001	11600000	37	11550000
chr1	11600001	11700000	43	11650000
chr1	11700001	11800000	37	11750000
chr1	11800001	11900000	29	11850000
chr1	11900001	12000000	33	11950000
chr1	12000001	12100000	40	12050000
chr1	12100001	12200000	33	12150000
chr1	12200001	12300000	52	12250000
chr1	12300001	12400000	45	12350000
chr1	12400001	12500000	40	12450000
chr1	12500001	12600000	57	12550000
chr1	12600001	12700000	60	12650000
chr1	12700001	12800000	45	12750000
chr1	12800001	12900000	56	12850000
chr1	12900001	13000000	62	12950000
chr1	13000001	13100000	74	13050000
chr1	13100001	13200000	50	13150000
chr1	13200001	13300000	64	13250000
chr1	13300001	13400000	64	13350000
chr1	13400001	13500000	70	13450000
chr1	13500001	13600000	60	13550000
chr1	13600001	13700000	56	13650000
chr1	13700001	13800000	69	13750000
chr1	13800001	13900000	78	13850000
chr1	13900001	14000000	71	13950000
chr1	14000001	14100000	61	14050000
chr1	14100001	14200000	59	14150000
chr1	14200001	14300000	60	14250000
chr1	14300001	14400000	91	14350000
chr1	14400001	14500000	65	14450000
chr1	14500001	14600000	11	14550000
chr1	14600001	14700000	7	14650000
chr1	14700001	14800000	6	14750000
chr1	14800001	14900000	25	14850000
chr1	14900001	15000000	15	14950000
chr1	15000001	15100000	36	15050000
chr1	15100001	15200000	93	15150000
chr1	15200001	15300000	95	15250000
chr1	15300001	15400000	86	15350000
chr1	15400001	15500000	49	15450000
chr1	15500001	15600000	53	15550000
chr1	15600001	15700000	72	15650000
chr1	15700001	15800000	64	15750000
chr1	15800001	15900000	55	15850000
chr1	15900001	16000000	68	15950000
chr1	16000001	16100000	51	16050000
chr1	16100001	16200000	73	16150000
chr1	16200001	16300000	45	16250000
chr1	16300001	16400000	68	16350000
chr1	16400001	16500000	72	16450000
chr1	16500001	16600000	54	16550000
chr1	16600001	16700000	65	16650000
chr1	16700001	16800000	72	16750000
chr1	16800001	16900000	73	16850000
chr1	16900001	17000000	49	16950000
chr1	17000001	17100000	38	17050000
chr1	17100001	17200000	63	17150000
chr1	17200001	17300000	44	17250000
chr1	17300001	17400000	33	17350000
chr1	17400001	17500000	49	17450000
chr1	17500001	17600000	68	17550000
chr1	17600001	17700000	49	17650000
chr1	17700001	17800000	19	17750000
chr1	17800001	17900000	29	17850000
chr1	17900001	18000000	21	17950000
chr1	18000001	18100000	28	18050000
chr1	18100001	18200000	14	18150000
chr1	18200001	18300000	29	18250000
chr1	18300001	18400000	32	18350000
chr1	18400001	18500000	27	18450000
chr1	18500001	18600000	16	18550000
chr1	18600001	18700000	20	18650000
chr1	18700001	18800000	24	18750000
chr1	18800001	18900000	27	18850000
chr1	18900001	19000000	32	18950000
chr1	19000001	19100000	40	19050000
chr1	19100001	19200000	16	19150000
chr1	19200001	19300000	39	19250000
chr1	19300001	19400000	36	19350000
chr1	19400001	19500000	27	19450000
chr1	19500001	19600000	15	19550000
chr1	19600001	19700000	21	19650000
chr1	19700001	19800000	46	19750000
chr1	19800001	19900000	13	19850000
chr1	19900001	20000000	25	19950000
chr1	20000001	20100000	15	20050000
chr1	20100001	20200000	31	20150000
chr1	20200001	20300000	17	20250000
chr1	20300001	20400000	28	20350000
chr1	20400001	20500000	48	20450000
chr1	20500001	20600000	24	20550000
chr1	20600001	20700000	21	20650000
chr1	20700001	20800000	10	20750000
chr1	20800001	20900000	14	20850000
chr1	20900001	21000000	9	20950000
chr1	21000001	21100000	28	21050000
chr1	21100001	21200000	45	21150000
chr1	21200001	21300000	16	21250000
chr1	21300001	21400000	24	21350000
chr1	21400001	21500000	30	21450000
chr1	21500001	21600000	20	21550000
chr1	21600001	21700000	40	21650000
chr1	21700001	21800000	49	21750000
chr1	21800001	21900000	26	21850000
chr1	21900001	22000000	39	21950000
chr1	22000001	22100000	22	22050000
chr1	22100001	22200000	37	22150000
chr1	22200001	22300000	20	22250000
chr1	22300001	22400000	8	22350000
chr1	22400001	22500000	14	22450000
chr1	22500001	22600000	21	22550000
chr1	22600001	22700000	11	22650000
chr1	22700001	22800000	24	22750000
chr1	22800001	22900000	35	22850000
chr1	22900001	23000000	9	22950000
chr1	23000001	23100000	19	23050000
chr1	23100001	23200000	29	23150000
chr1	23200001	23300000	21	23250000
chr1	23300001	23400000	19	23350000
chr1	23400001	23500000	14	23450000
chr1	23500001	23600000	19	23550000
chr1	23600001	23700000	10	23650000
chr1	23700001	23800000	16	23750000
chr1	23800001	23900000	21	23850000
chr1	23900001	24000000	11	23950000
chr1	24000001	24100000	21	24050000
chr1	24100001	24200000	20	24150000
chr1	24200001	24300000	15	24250000
chr1	24300001	24400000	16	24350000
chr1	24400001	24500000	23	24450000
chr1	24500001	24600000	33	24550000
chr1	24600001	24700000	35	24650000
chr1	24700001	24800000	33	24750000
chr1	24800001	24900000	31	24850000
chr1	24900001	25000000	29	24950000
chr1	25000001	25100000	8	25050000
chr1	25100001	25200000	18	25150000
chr1	25200001	25300000	11	25250000
chr1	25300001	25400000	14	25350000
chr1	25400001	25500000	10	25450000
chr1	25500001	25600000	17	25550000
chr1	25600001	25700000	17	25650000
chr1	25700001	25800000	19	25750000
chr1	25800001	25900000	12	25850000
chr1	25900001	26000000	13	25950000
chr1	26000001	26100000	7	26050000
chr1	26100001	26200000	4	26150000
chr1	26200001	26300000	9	26250000
chr1	26300001	26400000	25	26350000
chr1	26400001	26500000	12	26450000
chr1	26500001	26600000	13	26550000
chr1	26600001	26700000	15	26650000
chr1	26700001	26800000	13	26750000
chr1	26800001	26900000	10	26850000
chr1	26900001	27000000	6	26950000
chr1	27000001	27100000	16	27050000
chr1	27100001	27200000	15	27150000
chr1	27200001	27300000	10	27250000
chr1	27300001	27400000	2	27350000
chr1	27400001	27500000	9	27450000
chr1	27500001	27600000	16	27550000
chr1	27600001	27700000	11	27650000
chr1	27700001	27800000	5	27750000
chr1	27800001	27900000	8	27850000
chr1	27900001	28000000	7	27950000
chr1	28000001	28100000	9	28050000
chr1	28100001	28200000	8	28150000
chr1	28200001	28300000	3	28250000
chr1	28300001	28400000	17	28350000
chr1	28400001	28500000	1	28450000
chr1	28500001	28600000	21	28550000
chr1	28600001	28700000	1	28650000
chr1	28700001	28800000	9	28750000
chr1	28800001	28900000	20	28850000
chr1	28900001	29000000	7	28950000
chr1	29000001	29100000	5	29050000
chr1	29100001	29200000	12	29150000
chr1	29200001	29300000	10	29250000
chr1	29300001	29400000	17	29350000
chr1	29400001	29500000	10	29450000
chr1	29500001	29600000	5	29550000
chr1	29600001	29700000	5	29650000
chr1	29700001	29800000	8	29750000
chr1	29800001	29900000	5	29850000
chr1	29900001	30000000	9	29950000
chr1	30000001	30100000	2	30050000
chr1	30100001	30200000	6	30150000
chr1	30200001	30300000	12	30250000
chr1	30300001	30400000	4	30350000
chr1	30400001	30427671	1	30413836
chr2	1	100000	24	30477671
chr2	100001	200000	21	30577671
chr2	200001	300000	42	30677671
chr2	300001	400000	27	30777671
chr2	400001	500000	23	30877671
chr2	500001	600000	29	30977671
chr2	600001	700000	40	31077671
chr2	700001	800000	52	31177671
chr2	800001	900000	36	31277671
chr2	900001	1000000	29	31377671
chr2	1000001	1100000	46	31477671
chr2	1100001	1200000	31	31577671
chr2	1200001	1300000	82	31677671
chr2	1300001	1400000	80	31777671
chr2	1400001	1500000	69	31877671
chr2	1500001	1600000	52	31977671
chr2	1600001	1700000	73	32077671
chr2	1700001	1800000	60	32177671
chr2	1800001	1900000	61	32277671
chr2	1900001	2000000	59	32377671
chr2	2000001	2100000	64	32477671
chr2	2100001	2200000	89	32577671
chr2	2200001	2300000	73	32677671
chr2	2300001	2400000	63	32777671
chr2	2400001	2500000	58	32877671
chr2	2500001	2600000	49	32977671
chr2	2600001	2700000	57	33077671
chr2	2700001	2800000	52	33177671
chr2	2800001	2900000	58	33277671
chr2	2900001	3000000	65	33377671
chr2	3000001	3100000	58	33477671
chr2	3100001	3200000	72	33577671
chr2	3200001	3300000	32	33677671
chr2	3300001	3400000	21	33777671
chr2	3400001	3500000	10	33877671
chr2	3500001	3600000	62	33977671
chr2	3600001	3700000	26	34077671
chr2	3700001	3800000	39	34177671
chr2	3800001	3900000	59	34277671
chr2	3900001	4000000	50	34377671
chr2	4000001	4100000	67	34477671
chr2	4100001	4200000	74	34577671
chr2	4200001	4300000	56	34677671
chr2	4300001	4400000	67	34777671
chr2	4400001	4500000	72	34877671
chr2	4500001	4600000	45	34977671
chr2	4600001	4700000	82	35077671
chr2	4700001	4800000	63	35177671
chr2	4800001	4900000	50	35277671
chr2	4900001	5000000	52	35377671
chr2	5000001	5100000	89	35477671
chr2	5100001	5200000	62	35577671
chr2	5200001	5300000	59	35677671
chr2	5300001	5400000	42	35777671
chr2	5400001	5500000	65	35877671
chr2	5500001	5600000	43	35977671
chr2	5600001	5700000	42	36077671
chr2	5700001	5800000	76	36177671
chr2	5800001	5900000	70	36277671
chr2	5900001	6000000	43	36377671
chr2	6000001	6100000	56	36477671
chr2	6100001	6200000	66	36577671
chr2	6200001	6300000	75	36677671
chr2	6300001	6400000	44	36777671
chr2	6400001	6500000	75	36877671
chr2	6500001	6600000	45	36977671
chr2	6600001	6700000	70	37077671
chr2	6700001	6800000	46	37177671
chr2	6800001	6900000	44	37277671
chr2	6900001	7000000	49	37377671
chr2	7000001	7100000	40	37477671
chr2	7100001	7200000	45	37577671
chr2	7200001	7300000	33	37677671
chr2	7300001	7400000	34	37777671
chr2	7400001	7500000	37	37877671
chr2	7500001	7600000	34	37977671
chr2	7600001	7700000	23	38077671
chr2	7700001	7800000	19	38177671
chr2	7800001	7900000	26	38277671
chr2	7900001	8000000	37	38377671
chr2	8000001	8100000	51	38477671
chr2	8100001	8200000	22	38577671
chr2	8200001	8300000	33	38677671
chr2	8300001	8400000	10	38777671
chr2	8400001	8500000	38	38877671
chr2	8500001	8600000	36	38977671
chr2	8600001	8700000	9	39077671
chr2	8700001	8800000	17	39177671
chr2	8800001	8900000	32	39277671
chr2	8900001	9000000	24	39377671
chr2	9000001	9100000	23	39477671
chr2	9100001	9200000	19	39577671
chr2	9200001	9300000	18	39677671
chr2	9300001	9400000	23	39777671
chr2	9400001	9500000	32	39877671
chr2	9500001	9600000	17	39977671
chr2	9600001	9700000	33	40077671
chr2	9700001	9800000	43	40177671
chr2	9800001	9900000	28	40277671
chr2	9900001	10000000	32	40377671
chr2	10000001	10100000	32	40477671
chr2	10100001	10200000	30	40577671
chr2	10200001	10300000	16	40677671
chr2	10300001	10400000	23	40777671
chr2	10400001	10500000	36	40877671
chr2	10500001	10600000	35	40977671
chr2	10600001	10700000	36	41077671
chr2	10700001	10800000	32	41177671
chr2	10800001	10900000	23	41277671
chr2	10900001	11000000	25	41377671
chr2	11000001	11100000	33	41477671
chr2	11100001	11200000	26	41577671
chr2	11200001	11300000	17	41677671
chr2	11300001	11400000	37	41777671
chr2	11400001	11500000	14	41877671
chr2	11500001	11600000	28	41977671
chr2	11600001	11700000	25	42077671
chr2	11700001	11800000	20	42177671
chr2	11800001	11900000	17	42277671
chr2	11900001	12000000	26	42377671
chr2	12000001	12100000	11	42477671
chr2	12100001	12200000	22	42577671
chr2	12200001	12300000	19	42677671
chr2	12300001	12400000	15	42777671
chr2	12400001	12500000	21	42877671
chr2	12500001	12600000	15	42977671
chr2	12600001	12700000	4	43077671
chr2	12700001	12800000	20	43177671
chr2	12800001	12900000	23	43277671
chr2	12900001	13000000	10	43377671
chr2	13000001	13100000	21	43477671
chr2	13100001	13200000	19	43577671
chr2	13200001	13300000	24	43677671
chr2	13300001	13400000	10	43777671
chr2	13400001	13500000	9	43877671
chr2	13500001	13600000	10	43977671
chr2	13600001	13700000	17	44077671
chr2	13700001	13800000	14	44177671
chr2	13800001	13900000	7	44277671
chr2	13900001	14000000	12	44377671
chr2	14000001	14100000	9	44477671
chr2	14100001	14200000	8	44577671
chr2	14200001	14300000	16	44677671
chr2	14300001	14400000	10	44777671
chr2	14400001	14500000	26	44877671
chr2	14500001	14600000	11	44977671
chr2	14600001	14700000	11	45077671
chr2	14700001	14800000	6	45177671
chr2	14800001	14900000	8	45277671
chr2	14900001	15000000	9	45377671
chr2	15000001	15100000	7	45477671
chr2	15100001	15200000	12	45577671
chr2	15200001	15300000	7	45677671
chr2	15300001	15400000	15	45777671
chr2	15400001	15500000	5	45877671
chr2	15500001	15600000	9	45977671
chr2	15600001	15700000	2	46077671
chr2	15700001	15800000	5	46177671
chr2	15800001	15900000	10	46277671
chr2	15900001	16000000	9	46377671
chr2	16000001	16100000	12	46477671
chr2	16100001	16200000	10	46577671
chr2	16200001	16300000	5	46677671
chr2	16300001	16400000	17	46777671
chr2	16400001	16500000	2	46877671
chr2	16500001	16600000	6	46977671
chr2	16600001	16700000	3	47077671
chr2	16700001	16800000	9	47177671
chr2	16800001	16900000	5	47277671
chr2	16900001	17000000	13	47377671
chr2	17000001	17100000	7	47477671
chr2	17100001	17200000	5	47577671
chr2	17200001	17300000	19	47677671
chr2	17300001	17400000	6	47777671
chr2	17400001	17500000	7	47877671
chr2	17500001	17600000	7	47977671
chr2	17600001	17700000	4	48077671
chr2	17700001	17800000	5	48177671
chr2	17800001	17900000	3	48277671
chr2	17900001	18000000	10	48377671
chr2	18000001	18100000	5	48477671
chr2	18100001	18200000	3	48577671
chr2	18200001	18300000	10	48677671
chr2	18300001	18400000	9	48777671
chr2	18400001	18500000	2	48877671
chr2	18500001	18600000	10	48977671
chr2	18600001	18700000	7	49077671
chr2	18700001	18800000	6	49177671
chr2	18800001	18900000	7	49277671
chr2	18900001	19000000	9	49377671
chr2	19000001	19100000	1	49477671
chr2	19100001	19200000	14	49577671
chr2	19200001	19300000	8	49677671
chr2	19300001	19400000	5	49777671
chr2	19400001	19500000	3	49877671
chr2	19500001	19600000	8	49977671
chr2	19600001	19698289	8	50076816
chr3	1	100000	6	50175960
chr3	100001	200000	6	50275960
chr3	200001	300000	0	50375960
chr3	300001	400000	1	50475960
chr3	400001	500000	7	50575960
chr3	500001	600000	5	50675960
chr3	600001	700000	3	50775960
chr3	700001	800000	6	50875960
chr3	800001	900000	7	50975960
chr3	900001	1000000	5	51075960
chr3	1000001	1100000	8	51175960
chr3	1100001	1200000	6	51275960
chr3	1200001	1300000	5	51375960
chr3	1300001	1400000	17	51475960
chr3	1400001	1500000	7	51575960
chr3	1500001	1600000	10	51675960
chr3	1600001	1700000	6	51775960
chr3	1700001	1800000	5	51875960
chr3	1800001	1900000	6	51975960
chr3	1900001	2000000	16	52075960
chr3	2000001	2100000	4	52175960
chr3	2100001	2200000	7	52275960
chr3	2200001	2300000	6	52375960
chr3	2300001	2400000	7	52475960
chr3	2400001	2500000	1	52575960
chr3	2500001	2600000	2	52675960
chr3	2600001	2700000	14	52775960
chr3	2700001	2800000	4	52875960
chr3	2800001	2900000	6	52975960
chr3	2900001	3000000	8	53075960
chr3	3000001	3100000	5	53175960
chr3	3100001	3200000	11	53275960
chr3	3200001	3300000	5	53375960
chr3	3300001	3400000	1	53475960
chr3	3400001	3500000	9	53575960
chr3	3500001	3600000	11	53675960
chr3	3600001	3700000	10	53775960
chr3	3700001	3800000	18	53875960
chr3	3800001	3900000	12	53975960
chr3	3900001	4000000	6	54075960
chr3	4000001	4100000	5	54175960
chr3	4100001	4200000	6	54275960
chr3	4200001	4300000	17	54375960
chr3	4300001	4400000	9	54475960
chr3	4400001	4500000	7	54575960
chr3	4500001	4600000	13	54675960
chr3	4600001	4700000	4	54775960
chr3	4700001	4800000	10	54875960
chr3	4800001	4900000	5	54975960
chr3	4900001	5000000	12	55075960
chr3	5000001	5100000	3	55175960
chr3	5100001	5200000	3	55275960
chr3	5200001	5300000	9	55375960
chr3	5300001	5400000	8	55475960
chr3	5400001	5500000	11	55575960
chr3	5500001	5600000	9	55675960
chr3	5600001	5700000	17	55775960
chr3	5700001	5800000	8	55875960
chr3	5800001	5900000	26	55975960
chr3	5900001	6000000	8	56075960
chr3	6000001	6100000	7	56175960
chr3	6100001	6200000	10	56275960
chr3	6200001	6300000	7	56375960
chr3	6300001	6400000	17	56475960
chr3	6400001	6500000	14	56575960
chr3	6500001	6600000	6	56675960
chr3	6600001	6700000	8	56775960
chr3	6700001	6800000	18	56875960
chr3	6800001	6900000	3	56975960
chr3	6900001	7000000	15	57075960
chr3	7000001	7100000	5	57175960
chr3	7100001	7200000	14	57275960
chr3	7200001	7300000	11	57375960
chr3	7300001	7400000	27	57475960
chr3	7400001	7500000	2	57575960
chr3	7500001	7600000	8	57675960
chr3	7600001	7700000	19	57775960
chr3	7700001	7800000	25	57875960
chr3	7800001	7900000	29	57975960
chr3	7900001	8000000	32	58075960
chr3	8000001	8100000	9	58175960
chr3	8100001	8200000	26	58275960
chr3	8200001	8300000	33	58375960
chr3	8300001	8400000	33	58475960
chr3	8400001	8500000	21	58575960
chr3	8500001	8600000	17	58675960
chr3	8600001	8700000	18	58775960
chr3	8700001	8800000	31	58875960
chr3	8800001	8900000	20	58975960
chr3	8900001	9000000	22	59075960
chr3	9000001	9100000	18	59175960
chr3	9100001	9200000	16	59275960
chr3	9200001	9300000	18	59375960
chr3	9300001	9400000	42	59475960
chr3	9400001	9500000	21	59575960
chr3	9500001	9600000	31	59675960
chr3	9600001	9700000	20	59775960
chr3	9700001	9800000	28	59875960
chr3	9800001	9900000	37	59975960
chr3	9900001	10000000	26	60075960
chr3	10000001	10100000	33	60175960
chr3	10100001	10200000	31	60275960
chr3	10200001	10300000	39	60375960
chr3	10300001	10400000	40	60475960
chr3	10400001	10500000	64	60575960
chr3	10500001	10600000	63	60675960
chr3	10600001	10700000	36	60775960
chr3	10700001	10800000	53	60875960
chr3	10800001	10900000	59	60975960
chr3	10900001	11000000	70	61075960
chr3	11000001	11100000	69	61175960
chr3	11100001	11200000	78	61275960
chr3	11200001	11300000	63	61375960
chr3	11300001	11400000	82	61475960
chr3	11400001	11500000	61	61575960
chr3	11500001	11600000	49	61675960
chr3	11600001	11700000	73	61775960
chr3	11700001	11800000	91	61875960
chr3	11800001	11900000	78	61975960
chr3	11900001	12000000	76	62075960
chr3	12000001	12100000	60	62175960
chr3	12100001	12200000	46	62275960
chr3	12200001	12300000	59	62375960
chr3	12300001	12400000	67	62475960
chr3	12400001	12500000	41	62575960
chr3	12500001	12600000	57	62675960
chr3	12600001	12700000	69	62775960
chr3	12700001	12800000	66	62875960
chr3	12800001	12900000	65	62975960
chr3	12900001	13000000	53	63075960
chr3	13000001	13100000	62	63175960
chr3	13100001	13200000	68	63275960
chr3	13200001	13300000	72	63375960
chr3	13300001	13400000	54	63475960
chr3	13400001	13500000	52	63575960
chr3	13500001	13600000	64	63675960
chr3	13600001	13700000	64	63775960
chr3	13700001	13800000	185	63875960
chr3	13800001	13900000	98	63975960
chr3	13900001	14000000	68	64075960
chr3	14000001	14100000	51	64175960
chr3	14100001	14200000	85	64275960
chr3	14200001	14300000	83	64375960
chr3	14300001	14400000	59	64475960
chr3	14400001	14500000	76	64575960
chr3	14500001	14600000	58	64675960
chr3	14600001	14700000	69	64775960
chr3	14700001	14800000	44	64875960
chr3	14800001	14900000	56	64975960
chr3	14900001	15000000	68	65075960
chr3	15000001	15100000	61	65175960
chr3	15100001	15200000	35	65275960
chr3	15200001	15300000	60	65375960
chr3	15300001	15400000	56	65475960
chr3	15400001	15500000	46	65575960
chr3	15500001	15600000	39	65675960
chr3	15600001	15700000	79	65775960
chr3	15700001	15800000	62	65875960
chr3	15800001	15900000	81	65975960
chr3	15900001	16000000	67	66075960
chr3	16000001	16100000	51	66175960
chr3	16100001	16200000	64	66275960
chr3	16200001	16300000	63	66375960
chr3	16300001	16400000	38	66475960
chr3	16400001	16500000	67	66575960
chr3	16500001	16600000	67	66675960
chr3	16600001	16700000	28	66775960
chr3	16700001	16800000	41	66875960
chr3	16800001	16900000	34	66975960
chr3	16900001	17000000	38	67075960
chr3	17000001	17100000	44	67175960
chr3	17100001	17200000	24	67275960
chr3	17200001	17300000	27	67375960
chr3	17300001	17400000	37	67475960
chr3	17400001	17500000	18	67575960
chr3	17500001	17600000	30	67675960
chr3	17600001	17700000	19	67775960
chr3	17700001	17800000	19	67875960
chr3	17800001	17900000	15	67975960
chr3	17900001	18000000	22	68075960
chr3	18000001	18100000	36	68175960
chr3	18100001	18200000	19	68275960
chr3	18200001	18300000	19	68375960
chr3	18300001	18400000	8	68475960
chr3	18400001	18500000	18	68575960
chr3	18500001	18600000	23	68675960
chr3	18600001	18700000	17	68775960
chr3	18700001	18800000	17	68875960
chr3	18800001	18900000	26	68975960
chr3	18900001	19000000	14	69075960
chr3	19000001	19100000	9	69175960
chr3	19100001	19200000	14	69275960
chr3	19200001	19300000	7	69375960
chr3	19300001	19400000	6	69475960
chr3	19400001	19500000	20	69575960
chr3	19500001	19600000	20	69675960
chr3	19600001	19700000	9	69775960
chr3	19700001	19800000	14	69875960
chr3	19800001	19900000	5	69975960
chr3	19900001	20000000	5	70075960
chr3	20000001	20100000	9	70175960
chr3	20100001	20200000	8	70275960
chr3	20200001	20300000	8	70375960
chr3	20300001	20400000	11	70475960
chr3	20400001	20500000	12	70575960
chr3	20500001	20600000	10	70675960
chr3	20600001	20700000	16	70775960
chr3	20700001	20800000	19	70875960
chr3	20800001	20900000	9	70975960
chr3	20900001	21000000	9	71075960
chr3	21000001	21100000	5	71175960
chr3	21100001	21200000	8	71275960
chr3	21200001	21300000	4	71375960
chr3	21300001	21400000	10	71475960
chr3	21400001	21500000	7	71575960
chr3	21500001	21600000	6	71675960
chr3	21600001	21700000	15	71775960
chr3	21700001	21800000	6	71875960
chr3	21800001	21900000	5	71975960
chr3	21900001	22000000	10	72075960
chr3	22000001	22100000	15	72175960
chr3	22100001	22200000	8	72275960
chr3	22200001	22300000	14	72375960
chr3	22300001	22400000	15	72475960
chr3	22400001	22500000	6	72575960
chr3	22500001	22600000	35	72675960
chr3	22600001	22700000	22	72775960
chr3	22700001	22800000	12	72875960
chr3	22800001	22900000	5	72975960
chr3	22900001	23000000	6	73075960
chr3	23000001	23100000	4	73175960
chr3	23100001	23200000	19	73275960
chr3	23200001	23300000	9	73375960
chr3	23300001	23400000	5	73475960
chr3	23400001	23459830	1	73555875
chr4	1	100000	23	73635790
chr4	100001	200000	31	73735790
chr4	200001	300000	8	73835790
chr4	300001	400000	26	73935790
chr4	400001	500000	34	74035790
chr4	500001	600000	28	74135790
chr4	600001	700000	43	74235790
chr4	700001	800000	24	74335790
chr4	800001	900000	15	74435790
chr4	900001	1000000	25	74535790
chr4	1000001	1100000	33	74635790
chr4	1100001	1200000	20	74735790
chr4	1200001	1300000	30	74835790
chr4	1300001	1400000	28	74935790
chr4	1400001	1500000	23	75035790
chr4	1500001	1600000	21	75135790
chr4	1600001	1700000	43	75235790
chr4	1700001	1800000	42	75335790
chr4	1800001	1900000	58	75435790
chr4	1900001	2000000	42	75535790
chr4	2000001	2100000	65	75635790
chr4	2100001	2200000	45	75735790
chr4	2200001	2300000	53	75835790
chr4	2300001	2400000	62	75935790
chr4	2400001	2500000	43	76035790
chr4	2500001	2600000	58	76135790
chr4	2600001	2700000	43	76235790
chr4	2700001	2800000	45	76335790
chr4	2800001	2900000	63	76435790
chr4	2900001	3000000	37	76535790
chr4	3000001	3100000	48	76635790
chr4	3100001	3200000	60	76735790
chr4	3200001	3300000	89	76835790
chr4	3300001	3400000	70	76935790
chr4	3400001	3500000	57	77035790
chr4	3500001	3600000	44	77135790
chr4	3600001	3700000	53	77235790
chr4	3700001	3800000	62	77335790
chr4	3800001	3900000	54	77435790
chr4	3900001	4000000	28	77535790
chr4	4000001	4100000	42	77635790
chr4	4100001	4200000	54	77735790
chr4	4200001	4300000	40	77835790
